City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
129,Barrow,US,71.2906,-156.7887,-16.58,69,0,4.61,clear sky
130,Ahipara,NZ,-35.1667,173.1667,71.38,84,47,3.13,scattered clouds
131,Hobart,AU,-42.8794,147.3294,74.23,47,20,5.75,few clouds
132,Los Llanos De Aridane,ES,28.6585,-17.9182,58.75,84,0,4.61,clear sky
133,Kulhudhuffushi,MV,6.6221,73.07,82.18,71,5,10.04,clear sky
134,Bowen,AU,-20.0167,148.2333,83.28,65,100,22.24,overcast clouds
135,Mizdah,LY,31.4451,12.9801,50.09,43,29,7.72,scattered clouds
136,Igarka,RU,67.4667,86.5833,-20.52,98,88,7.29,overcast clouds
137,Castro,BR,-24.7911,-50.0119,61.21,99,100,7.74,overcast clouds
138,Kyaikkami,MM,16.08,97.5675,84.13,66,100,4.65,overcast clouds
139,Esperance,AU,-33.8667,121.9,78.64,57,37,8.39,scattered clouds
140,Bud,US,39.447,-86.1758,22.95,63,5,8.77,clear sky
141,Genhe,CN,50.7833,121.5167,22.23,74,96,4.03,overcast clouds
142,Constitucion,CL,-35.3333,-72.4167,59.16,78,0,6.4,clear sky
143,Khatanga,RU,71.9667,102.5,-22.43,100,100,8.23,overcast clouds
144,Stornoway,GB,58.2093,-6.3865,42.76,91,20,5.75,few clouds
145,Santo Amaro Da Imperatriz,BR,-27.6881,-48.7786,69.76,99,100,2.13,overcast clouds
146,Bani Walid,LY,31.7566,13.9942,51.4,73,100,6.85,overcast clouds
147,Turayf,SA,31.6725,38.6637,39.45,87,0,4.61,clear sky
148,Markala,ML,13.7021,-6.0659,79.03,13,52,10.56,broken clouds
149,Hermanus,ZA,-34.4187,19.2345,64.83,82,0,9.46,clear sky
150,Praia Da Vitoria,PT,38.7333,-27.0667,55.76,76,20,16.35,few clouds
151,Leopold,AU,-38.1833,144.4667,83.05,54,4,13.8,clear sky
152,Thompson,CA,55.7435,-97.8558,5.16,66,40,5.75,scattered clouds
153,Zhigalovo,RU,54.8097,105.1578,3.11,92,92,1.79,overcast clouds
154,Deputatskiy,RU,69.3,139.9,-10.86,99,100,3.33,overcast clouds
155,Calvia,ES,39.5657,2.5062,49.41,80,46,7.96,scattered clouds
156,Itupiranga,BR,-5.1347,-49.3267,73.9,96,100,1.3,overcast clouds
157,Itaituba,BR,-4.2761,-55.9836,74.1,93,51,1.1,broken clouds
158,College,US,64.8569,-147.8028,15.75,38,20,19.57,few clouds
159,Khani,GE,41.9563,42.9566,22.57,82,100,4.61,overcast clouds
160,Teya,RU,60.3778,92.6267,-8.77,99,99,0.76,overcast clouds
161,Timbiqui,CO,2.7717,-77.6654,76.32,89,99,1.57,overcast clouds
162,Bluff,NZ,-46.6,168.3333,65.8,66,0,4.16,clear sky
163,Newport,GB,51.5877,-2.9984,48.31,88,100,1.99,overcast clouds
